Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
62	131134	209519	186872	242457	107059	170670	266175	221102	216639	191469	226338	250464
63	130059	135807	171592	234286	100341	160071	262743	212641	200550	161503	218331	241204
64	124551	144789	172290	230001	93963	151402	255252	207166	191879	155823	212157	236421
65	120338	150310	197817	224250	87555	141296	246015	203627	204619	187221	205900	227977
66	120933	152783	176973	222692	83549	133196	243253	207626	208764	157391	203666	226067
67	118308	145666	172741	219884	77177	124378	236608	209616	216777	170585	199246	220540
68	117464	136651	166083	208261	71220	116259	230244	195558	181805	138468	188014	210541
69	108207	125434	142730	196773	66011	108197	222658	180107	167026	130714	178647	201302
70	102364	117169	138661	190727	62459	102145	217036	175925	160957	122600	173574	196586
71	106106	122654	147411	193547	58560	95795	216613	181702	175291	137876	175419	194470
72	125640	143707	155072	201756	55219	90299	221364	193806	201282	157312	182450	197287
73	118934	145642	164530	199660	52314	85022	216077	193238	204045	156031	177585	190436
74	105762	135481	156215	190754	48675	78949	205298	185112	187846	148607	167365	182489
75	100148	116697	131557	176174	45121	73751	204594	167907	169786	126063	161574	175150
76	97443	104220	126776	172204	42795	69962	200511	165794	173746	129316	157562	171690
77	95100	108519	134935	171162	40290	65497	196070	166752	180277	133353	155304	167660
78	90068	109530	135683	163842	36914	60958	184846	158064	173983	134757	147407	158098
79	88532	126399	161127	165022	35057	57390	181549	160314	198459	162287	145443	154651
80	86058	119452	152860	160229	32413	51940	176983	160928	208526	176449	140759	148974
81	90224	122817	140006	158869	30281	49306	179444	157857	197731	165201	139233	146951
82	87130	111639	129049	153478	28170	46561	175501	151029	180774	148071	135007	143063
83	94904	99833	121921	151830	26991	43631	171128	151667	181071	142217	133780	141185
84	85104	92951	118401	145952	25105	40479	163753	146448	173713	140461	128148	135529
85	84848	92514	114175	141960	23462	37971	162416	141686	161429	133426	124779	131481
86	75868	94837	111952	136745	22048	35614	155488	136270	158394	129505	118381	125780
87	75997	98845	117311	136994	20966	33130	152548	137101	165603	132814	117853	123637
88	76642	97952	116957	134233	19446	31434	149336	133626	161038	130637	115263	120288
89	72098	103869	123043	132139	18367	29665	147237	132045	164077	131851	111809	116421
90	70828	116267	126677	130305	17736	28111	145551	130595	163582	136412	110148	114714
91	74774	173952	139906	131473	16312	26570	139669	129453	171004	155108	108564	110450
92	70978	167979	133551	125848	15246	25074	135430	126659	168633	151572	105676	106864
93	68582	106665	120383	123534	14812	23555	134046	123530	155073	130227	103117	104245
94	71566	111056	147329	128002	14141	21844	133638	129661	174477	148578	106426	102957
95	64843	119404	132357	119657	13195	20838	126643	122744	157641	132506	97745	98193
